Year,Player,Pos,Height,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality
2022,Gabriel Deck,F,80,232,27,OKC,7,1,Quimsa (Argentina),"2017 NBA Draft, Undrafted",Argentina
2022,Dewayne Dedmon,PF,84,245,32,MIA,67,8,USC,"2013 NBA Draft, Undrafted",United States
2022,Sam Dekker,SF,81,230,27,TOR,1,4,Wisconsin,2015 Rnd 1 Pick 18,United States
2022,Donte DiVincenzo,SG,76,203,25,"MIL, SAC",42,3,Villanova,2018 Rnd 1 Pick 17,United States
2022,Mamadi Diakite,PF,81,218,25,OKC,13,1,Virginia,"2020 NBA Draft, Undrafted",Guinea
2022,Cheick Diallo,PF,80,219,25,DET,3,4,Kansas,2016 Rnd 2 Pick 3,Mali
2022,Hamidou Diallo,SG,77,202,23,DET,58,3,Kentucky,2018 Rnd 2 Pick 15,United StatesGuinea
2022,Gorgui Dieng,FC,82,250,32,ATL,44,8,Louisville,2013 Rnd 1 Pick 21,Senegal
2022,Spencer Dinwiddie,PG,77,215,28,"DAL, WAS",67,7,Colorado,2014 Rnd 2 Pick 8,United States
2022,Luka Doncic,SF,79,230,23,DAL,65,3,Real Madrid (Spain),2018 Rnd 1 Pick 3,Slovenia
2022,Luguentz Dort,PG,76,215,22,OKC,51,2,Arizona State,"2019 NBA Draft, Undrafted",Canada
2022,Ayo Dosunmu,PG,77,200,22,CHI,77,0,Illinois,2021 Rnd 2 Pick 8,United States
2022,Damyean Dotson,SG,77,205,27,NYK,2,4,Houston,2017 Rnd 2 Pick 14,United States
2022,Devon Dotson,PG,73,185,22,CHI,11,1,Kansas,"2020 NBA Draft, Undrafted",United States
2022,Sekou Doumbouya,F,80,235,21,LAL,2,2,CSP Limoges (France),2019 Rnd 1 Pick 15,FranceGuinea
2022,Jeff Dowtin,PG,75,185,24,"GOS, MIL, ORL",9,0,Rhode Island,"2020 NBA Draft, Undrafted",United States
2022,P.J. Dozier,PG,78,205,25,DEN,18,4,South Carolina,"2017 NBA Draft, Undrafted",United States
2022,Goran Dragic,G,75,190,35,"BRK, TOR",21,13,Union Olimpija (Slovenia),2008 Rnd 2 Pick 15,Slovenia
2022,Andre Drummond,C,82,280,28,"BRK, PHL",73,9,Connecticut,2012 Rnd 1 Pick 9,United States
2022,Chris Duarte,PG,78,190,24,IND,55,0,Oregon,2021 Rnd 1 Pick 13,CanadaDominican Republic
2022,David Duke,SG,76,205,22,BRK,22,0,Providence,"2021 NBA Draft, Undrafted",United States
2022,Kris Dunn,SG,75,205,27,POR,14,5,Providence,2016 Rnd 1 Pick 5,United States
2022,Kevin Durant,SF,82,225,33,BRK,55,14,Texas,2007 Rnd 1 Pick 2,United States
2022,Jaime Echenique,C,83,258,24,WAS,1,0,Wichita State,"2020 NBA Draft, Undrafted",Colombia
2022,Anthony Edwards,SF,77,229,20,MIN,72,1,Georgia,2020 Rnd 1 Pick 1,United States
2022,Carsen Edwards,PG,71,200,23,DET,4,2,Purdue,2019 Rnd 2 Pick 3,United States
2022,Kessler Edwards,SG,80,215,21,BRK,48,0,Pepperdine,2021 Rnd 2 Pick 14,United States
2022,Rob Edwards,SG,77,205,25,OKC,2,0,Arizona State,"2020 NBA Draft, Undrafted",United States
2022,C.J. Elleby,SF,78,200,21,POR,58,1,Washington State,2020 Rnd 2 Pick 16,United States
2022,Wayne Ellington,SG,76,207,34,LAL,43,12,North Carolina,2009 Rnd 1 Pick 28,United States
2022,Joel Embiid,C,84,280,27,PHI,68,7,Kansas,2014 Rnd 1 Pick 3,Cameroon
2022,James Ennis,GF,78,215,31,"BRK, DEN, LAC",7,7,Long Beach State,2013 Rnd 2 Pick 20,United States
2022,Drew Eubanks,C,82,245,25,"POR, SAN",71,3,Oregon State,"2018 NBA Draft, Undrafted",United States
2022,Tacko Fall,C,90,250,26,CLE,11,2,UCF,"2019 NBA Draft, Undrafted",Senegal
2022,Derrick Favors,FC,82,265,30,OKC,39,11,Georgia Tech,2010 Rnd 1 Pick 3,United States
2022,Bruno Fernando,C,81,240,23,"BOS, HOU",30,2,Maryland,2019 Rnd 2 Pick 4,Angola
2022,Dorian Finney-Smith,SF,79,220,28,DAL,80,5,Florida,"2016 NBA Draft, Undrafted",United States
2022,Malik Fitts,SF,80,230,24,"BOS, UTH",15,1,Saint Mary's,"2020 NBA Draft, Undrafted",United States
2022,Malachi Flynn,PG,73,185,23,TOR,44,1,San Diego State,2020 Rnd 1 Pick 29,United States
2022,Bryn Forbes,G,74,205,28,"DEN, SAN",75,5,Michigan State,"2016 NBA Draft, Undrafted",United States
2022,Aleem Ford,SF,80,217,24,ORL,5,0,Wisconsin,"2021 NBA Draft, Undrafted",United States
2022,Trent Forrest,SG,76,210,23,UTA,60,1,Florida State,"2020 NBA Draft, Undrafted",United States
2022,Evan Fournier,SG,79,205,29,NYK,80,9,Poitiers Basket 86 (France),2012 Rnd 1 Pick 20,France
2022,De'Aaron Fox,PG,75,185,24,SAC,59,4,Kentucky,2017 Rnd 1 Pick 5,United States
2022,"Melvin Frazier, Jr.",SF,77,215,25,OKC,3,2,Tulane,2018 Rnd 2 Pick 5,United States
2022,Tim Frazier,G,72,172,31,"CLE, ORL",12,7,Penn State,"2014 NBA Draft, Undrafted",United States
2022,Enes Freedom,F,82,250,29,BOS,35,10,Kentucky,2011 Rnd 1 Pick 3,SwitzerlandTurkey
2022,Markelle Fultz,PG,76,209,23,ORL,18,4,Washington,2017 Rnd 1 Pick 1,United States
2022,Wenyen Gabriel,PF,81,205,24,"BRK, LAC, LAL",26,3,Kentucky,"2018 NBA Draft, Undrafted",South Sudan
2022,Daniel Gafford,C,83,234,23,WAS,72,2,Arkansas,2019 Rnd 2 Pick 8,United States
2022,Danilo Gallinari,SF,82,233,33,ATL,66,13,AX Armani Exchange Milan (Italy),2008 Rnd 1 Pick 6,Italy
2022,Langston Galloway,G,73,200,30,"BRK, MIL",7,7,Saint Joseph's,"2014 NBA Draft, Undrafted",United States
2022,Darius Garland,G,73,186,22,CLE,68,2,Vanderbilt,2019 Rnd 1 Pick 5,United States
2022,Marcus Garrett,PG,77,205,23,MIA,12,0,Kansas,"2021 NBA Draft, Undrafted",United States
2022,Usman Garuba,C,80,220,19,HOU,24,0,Real Madrid (Spain),2021 Rnd 1 Pick 23,Spain
2022,Luka Garza,C,82,243,23,DET,32,0,Iowa,2021 Rnd 2 Pick 22,United States
2022,Rudy Gay,SF,80,240,35,UTA,55,15,Connecticut,2006 Rnd 1 Pick 8,United States
2022,Paul George,GF,80,220,31,LAC,31,11,Fresno State,2010 Rnd 1 Pick 10,United States
2022,Taj Gibson,F,81,232,36,NYK,52,12,USC,2009 Rnd 1 Pick 26,United States
2022,Josh Giddey,G,80,210,19,OKC,54,0,Adelaide (Australia),2021 Rnd 1 Pick 6,Australia
2022,Shai Gilgeous-Alexander,PG,78,181,23,OKC,56,3,Kentucky,2018 Rnd 1 Pick 11,Canada
2022,Anthony Gill,PF,80,230,29,WAS,44,1,Virginia,"2016 NBA Draft, Undrafted",United States
2022,Freddie Gillespie,F,81,245,24,ORL,9,1,Baylor,"2020 NBA Draft, Undrafted",United States
